True Cost 	Penalty 	Adjusted Cost
3.406437E-01	0.000000E+00	3.406437E-01
6.036765E-02	0.000000E+00	6.036765E-02
1.475169E-01	0.000000E+00	1.475169E-01
2.624457E-01	0.000000E+00	2.624457E-01
7.305767E-02	0.000000E+00	7.305767E-02
1.213292E-01	0.000000E+00	1.213292E-01
8.960647E-02	0.000000E+00	8.960647E-02
1.071743E-01	0.000000E+00	1.071743E-01
6.123161E-02	0.000000E+00	6.123161E-02
7.243685E-02	0.000000E+00	7.243685E-02
7.352789E-02	0.000000E+00	7.352789E-02
9.240998E-02	0.000000E+00	9.240998E-02
8.674911E-02	0.000000E+00	8.674911E-02
4.874599E-02	0.000000E+00	4.874599E-02
1.155077E-01	0.000000E+00	1.155077E-01
1.245801E-01	0.000000E+00	1.245801E-01
6.361493E-02	0.000000E+00	6.361493E-02
9.761059E-02	0.000000E+00	9.761059E-02
1.727992E-01	0.000000E+00	1.727992E-01
2.416387E-01	0.000000E+00	2.416387E-01
9.453312E-02	0.000000E+00	9.453312E-02
7.066382E-02	0.000000E+00	7.066382E-02
6.457441E-02	0.000000E+00	6.457441E-02
2.067080E-01	0.000000E+00	2.067080E-01
1.848797E-01	0.000000E+00	1.848797E-01
7.008948E-02	0.000000E+00	7.008948E-02
9.151178E-02	0.000000E+00	9.151178E-02
1.569336E-01	0.000000E+00	1.569336E-01
7.832112E-02	0.000000E+00	7.832112E-02
1.567403E-01	0.000000E+00	1.567403E-01
1.223202E-01	0.000000E+00	1.223202E-01
2.161931E-01	0.000000E+00	2.161931E-01
6.269105E-02	0.000000E+00	6.269105E-02
8.545959E-02	0.000000E+00	8.545959E-02
1.715786E-01	0.000000E+00	1.715786E-01
6.523886E-02	0.000000E+00	6.523886E-02
1.034644E-01	0.000000E+00	1.034644E-01
1.173030E-01	0.000000E+00	1.173030E-01
1.662641E-01	0.000000E+00	1.662641E-01
1.313170E-01	0.000000E+00	1.313170E-01
4.338485E-02	0.000000E+00	4.338485E-02
6.095489E-02	0.000000E+00	6.095489E-02
2.103737E-01	0.000000E+00	2.103737E-01
2.566734E-01	0.000000E+00	2.566734E-01
1.176941E-01	0.000000E+00	1.176941E-01
1.009002E-01	0.000000E+00	1.009002E-01
1.476863E-01	0.000000E+00	1.476863E-01
8.010857E-02	0.000000E+00	8.010857E-02
7.730922E-02	0.000000E+00	7.730922E-02
6.552745E-02	0.000000E+00	6.552745E-02
1.364882E-01	0.000000E+00	1.364882E-01
1.006421E-01	0.000000E+00	1.006421E-01
5.934213E-02	0.000000E+00	5.934213E-02
1.835210E-01	0.000000E+00	1.835210E-01
2.919873E-01	0.000000E+00	2.919873E-01
1.732949E-01	0.000000E+00	1.732949E-01
9.749495E-02	0.000000E+00	9.749495E-02
7.376136E-02	0.000000E+00	7.376136E-02
1.019331E-01	0.000000E+00	1.019331E-01
7.791445E-02	0.000000E+00	7.791445E-02
1.235077E-01	0.000000E+00	1.235077E-01
1.021812E-01	0.000000E+00	1.021812E-01
5.799416E-02	0.000000E+00	5.799416E-02
2.591141E-01	0.000000E+00	2.591141E-01
1.120844E-01	0.000000E+00	1.120844E-01
